Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,PK,PKatt,Year,Team,xG,xGA
2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,eng England,58.0,44536.0,Marco Verratti,4-3-3,Srđan Jovanović,Match Report,,10.0,1.0,10.0,0.1,1.0,0,0,2024,Italy,,
2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,0.0,mt Malta,69.0,16015.0,Gianluigi Donnarumma,4-3-3,Georgi Kabakov,Match Report,,17.0,6.0,35.3,0.12,0.33,0,0,2024,Italy,,
2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,mk N. Macedonia,73.0,28126.0,Ciro Immobile,4-3-3,François Letexier,Match Report,,9.0,3.0,33.3,0.11,0.33,0,0,2024,Italy,,
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,ua Ukraine,64.0,58386.0,Gianluigi Donnarumma,4-3-3,Alejandro Hernández,Match Report,,22.0,5.0,22.7,0.09,0.4,0,0,2024,Italy,,
2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,4.0,0.0,mt Malta,67.0,56186.0,Gianluigi Donnarumma,4-3-3,Duje Strukan,Match Report,,18.0,4.0,22.2,0.22,1.0,0,0,2024,Italy,,
2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,3.0,eng England,49.0,83194.0,Gianluigi Donnarumma,4-3-3,Clément Turpin,Match Report,,15.0,4.0,26.7,0.07,0.25,0,0,2024,Italy,,
2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,2.0,mk N. Macedonia,64.0,56364.0,Gianluigi Donnarumma,4-3-3,Felix Zwayer,Match Report,,20.0,11.0,55.0,0.25,0.45,0,1,2024,Italy,,
2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0.0,0.0,ua Ukraine,59.0,26403.0,Gianluigi Donnarumma,4-3-3,Jesús Gil,Match Report,,17.0,2.0,11.8,0.0,0.0,0,0,2024,Italy,,
2024-03-21,17:00,Friendlies (M),Friendlies (M),Thu,Neutral,W,2.0,1.0,ve Venezuela,,,Gianluigi Donnarumma,3-4-3,Rubiel Vázquez,Match Report,,,,,,,0,0,2024,Italy,,
2024-03-24,16:00,Friendlies (M),Friendlies (M),Sun,Neutral,W,2.0,0.0,ec Ecuador,,,Nicolò Barella,3-4-3,Jon Freemon,Match Report,,,,,,,0,0,2024,Italy,,
2024-06-04,21:00,Friendlies (M),Friendlies (M),Tue,Home,D,0.0,0.0,tr Türkiye,,25012.0,Jorginho,4-1-4-1,Sebastian Gishamer,Match Report,,,,,,,0,0,2024,Italy,,
2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Home,W,1.0,0.0,ba Bosnia & Herz'na,,,Gianluigi Donnarumma,3-4-3,Chrysovalantis Theouli,Match Report,,,,,,,0,0,2024,Italy,,
2024-06-15,21:00,UEFA Euro,Group stage,Sat,Home,W,2.0,1.0,al Albania,68.0,,Gianluigi Donnarumma,4-2-3-1,Felix Zwayer,Match Report,,17.0,5.0,29.4,0.12,0.4,0,0,2024,Italy,,
2022-06-04,20:45,UEFA Nations League,League A,Sat,Home,D,1,1,de Germany,33.0,23754.0,Alessandro Florenzi,4-3-3,Srdjan Stojanovic,Match Report,,11.0,2.0,18.2,0.09,0.5,0,0,2022-2023,Italy,,
2022-06-07,20:45,UEFA Nations League,League A,Tue,Home,W,2,1,hu Hungary,56.0,14942.0,Gianluigi Donnarumma,4-3-3,Sandro Schärer,Match Report,,17.0,6.0,35.3,0.12,0.33,0,0,2022-2023,Italy,,
2022-06-11,19:45,UEFA Nations League,League A,Sat,Away,D,0,0,eng England,41.0,1782.0,Gianluigi Donnarumma,4-3-3,Szymon Marciniak,Match Report,,8.0,3.0,37.5,0.0,0.0,0,0,2022-2023,Italy,,
2022-06-14,20:45,UEFA Nations League,League A,Tue,Away,L,2,5,de Germany,35.0,44144.0,Gianluigi Donnarumma,4-3-3,István Kovács,Match Report,,14.0,6.0,42.9,0.14,0.33,0,0,2022-2023,Italy,,
2022-09-23,20:45,UEFA Nations League,League A,Fri,Home,W,1,0,eng England,44.0,50640.0,Leonardo Bonucci,3-5-2,Jesús Gil,Match Report,,10.0,3.0,30.0,0.1,0.33,0,0,2022-2023,Italy,,
2022-09-26,20:45,UEFA Nations League,League A,Mon,Away,W,2,0,hu Hungary,47.0,57300.0,Leonardo Bonucci,,Benoît Bastien,Match Report,,11.0,3.0,27.3,0.18,0.67,0,0,2022-2023,Italy,,
2023-06-15,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,L,1,2,es Spain,38.0,24558.0,Leonardo Bonucci,3-5-2,Slavko Vinčič,Match Report,,8.0,3.0,37.5,0.0,0.0,1,1,2022-2023,Italy,,
2023-06-18,15:00,UEFA Nations League,Third-place match,Sun,Neutral,W,3,2,nl Netherlands,40.0,21292.0,Gianluigi Donnarumma,4-3-3,Glenn Nyberg,Match Report,,13.0,3.0,23.1,0.23,1.0,0,0,2022-2023,Italy,,
2021-03-25,20:45,WCQ,First round,Thu,Home,W,2,0,nir Northern Ireland,66.0,,Giorgio Chiellini,4-3-3,Ali Palabıyık,Match Report,,12.0,5.0,41.7,0.17,0.4,0,0,2022,Italy,,
2021-03-28,21:45,WCQ,First round,Sun,Away,W,2,0,bg Bulgaria,68.0,,Leonardo Bonucci,4-3-3,Slavko Vinčič,Match Report,,22.0,6.0,27.3,0.05,0.17,1,1,2022,Italy,,
2021-03-31,21:45,WCQ,First round,Wed,Away,W,2,0,lt Lithuania,66.0,,Ciro Immobile,4-3-3,Paweł Raczkowski,Match Report,,29.0,11.0,37.9,0.03,0.09,1,1,2022,Italy,,
2021-09-02,20:45,WCQ,First round,Thu,Home,D,1,1,bg Bulgaria,79.0,14366.0,Leonardo Bonucci,4-3-3,Serdar Gözübüyük,Match Report,,27.0,8.0,29.6,0.04,0.13,0,0,2022,Italy,,
2021-09-05,20:45,WCQ,First round,Sun,Away,D,0,0,ch Switzerland,52.0,31500.0,Giorgio Chiellini,4-3-3,Carlos del Cerro,Match Report,,10.0,7.0,70.0,0.0,0.0,0,1,2022,Italy,,
2021-09-08,20:45,WCQ,First round,Wed,Home,W,5,0,lt Lithuania,72.0,10578.0,Jorginho,4-3-3,Craig Pawson,Match Report,,21.0,5.0,23.8,0.19,0.8,0,0,2022,Italy,,
2021-11-12,20:45,WCQ,First round,Fri,Home,D,1,1,ch Switzerland,64.0,45699.0,Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,,11.0,4.0,36.4,0.09,0.25,0,1,2022,Italy,,
2021-11-15,19:45,WCQ,First round,Mon,Away,D,0,0,nir Northern Ireland,71.0,,Leonardo Bonucci,4-3-3,István Kovács,Match Report,,12.0,6.0,50.0,0.0,0.0,0,0,2022,Italy,,
2022-03-24,20:45,WCQ,Semi-finals,Thu,Home,L,0,1,mk N. Macedonia,66.0,34129.0,Ciro Immobile,4-3-3,Clément Turpin,Match Report,,32.0,5.0,15.6,0.0,0.0,0,0,2022,Italy,,
2022-03-29,21:45,Friendlies (M),Friendlies (M),Tue,Neutral,W,3,2,tr Türkiye,,,Giorgio Chiellini,4-3-3,Enea Jorgji,Match Report,,,,,,,0,0,2022,Italy,,
2022-11-16,20:45,Friendlies (M),Friendlies (M),Wed,Neutral,W,3,1,al Albania,,,Leonardo Bonucci,3-4-3,Genc Nuza,Match Report,,,,,,,0,0,2022,Italy,,
2022-11-20,20:45,Friendlies (M),Friendlies (M),Sun,Neutral,L,0,2,at Austria,,,Leonardo Bonucci,3-4-3,Christian Dingert,Match Report,,,,,,,0,0,2022,Italy,,
2019-03-23,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,fi Finland,58.0,24000.0,Giorgio Chiellini,4-3-3,Orel Grinfeeld,Match Report,,11.0,3.0,27.3,0.18,0.67,0,0,2021,Italy,,
2019-03-26,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,6,0,li Liechtenstein,78.0,19834.0,Leonardo Bonucci,4-3-3,Kirill Levnikov,Match Report,,41.0,12.0,29.3,0.1,0.33,2,2,2021,Italy,,
2019-06-08,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,3,0,gr Greece,70.0,19828.0,Giorgio Chiellini,4-3-3,Anthony Taylor,Match Report,,16.0,10.0,62.5,0.19,0.3,0,0,2021,Italy,,
2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,1,ba Bosnia & Herz'na,65.0,29100.0,Giorgio Chiellini,4-3-3,Javier Estrada,Match Report,,17.0,8.0,47.1,0.12,0.25,0,0,2021,Italy,,
2019-09-05,20:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,3,1,am Armenia,74.0,13680.0,Leonardo Bonucci,4-3-3,Daniel Siebert,Match Report,,18.0,7.0,38.9,0.17,0.43,0,0,2021,Italy,,
2019-09-08,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,1,fi Finland,60.0,16292.0,Leonardo Bonucci,4-3-3,Bobby Madden,Match Report,,25.0,9.0,36.0,0.04,0.11,1,1,2021,Italy,,
2019-10-12,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,gr Greece,71.0,56274.0,Leonardo Bonucci,4-3-3,Sergey Karasev,Match Report,,20.0,4.0,20.0,0.05,0.25,1,1,2021,Italy,,
2019-10-15,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,5,0,li Liechtenstein,80.0,5087.0,Marco Verratti,4-3-3,Andris Treimanis,Match Report,,25.0,11.0,44.0,0.2,0.45,0,0,2021,Italy,,
2019-11-15,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,0,ba Bosnia & Herz'na,55.0,8355.0,Leonardo Bonucci,4-3-3,Sandro Schärer,Match Report,,12.0,7.0,58.3,0.25,0.43,0,0,2021,Italy,,
2019-11-18,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,9,1,am Armenia,71.0,27752.0,Leonardo Bonucci,4-3-3,Tiago Martins,Match Report,,24.0,12.0,50.0,0.33,0.67,1,1,2021,Italy,,
2021-05-28,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,7,0,sm San Marino,,,Federico Bernardeschi,4-1-4-1,Trustin Farrugia Cann,Match Report,,,,,,,0,0,2021,Italy,,
2021-06-04,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,4,0,cz Czechia,,,Giorgio Chiellini,4-1-4-1,Lionel Tschudi,Match Report,,,,,,,0,0,2021,Italy,,
2021-06-11,21:00,UEFA Euro,Group stage,Fri,Neutral,W,3,0,tr Türkiye,64.0,12916.0,Giorgio Chiellini,4-3-3,Danny Makkelie,Match Report,,24.0,8.0,33.3,0.08,0.25,0,0,2021,Italy,1.9,0.6
2021-06-16,21:00,UEFA Euro,Group stage,Wed,Neutral,W,3,0,ch Switzerland,49.0,12445.0,Giorgio Chiellini,4-3-3,Sergey Karasev,Match Report,,13.0,3.0,23.1,0.23,1.0,0,0,2021,Italy,2.7,0.2
2021-06-20,18:00,UEFA Euro,Group stage,Sun,Neutral,W,1,0,wls Wales,69.0,11541.0,Leonardo Bonucci,4-3-3,Ovidiu Hațegan,Match Report,,23.0,6.0,26.1,0.04,0.17,0,0,2021,Italy,2.0,0.4
2021-06-26,20:00,UEFA Euro,Round of 16,Sat,Neutral,W,2,1,at Austria,51.0,18910.0,Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,Required Extra Time,27.0,6.0,22.2,0.07,0.33,0,0,2021,Italy,1.9,0.8
2021-07-02,21:00,UEFA Euro,Quarter-finals,Fri,Away,W,2,1,be Belgium,54.0,12984.0,Giorgio Chiellini,4-3-3,Slavko Vinčič,Match Report,,14.0,3.0,21.4,0.14,0.67,0,0,2021,Italy,1.7,1.8
2021-07-06,20:00,UEFA Euro,Semi-finals,Tue,Home,D,1 (4),1 (2),es Spain,31.0,57811.0,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,Italy won on penalty kicks following extra time,7.0,4.0,57.1,0.14,0.25,0,0,2021,Italy,0.8,1.5
2021-07-11,20:00,UEFA Euro,Final,Sun,Neutral,D,1 (3),1 (2),eng England,65.0,67173.0,Giorgio Chiellini,4-3-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,19.0,6.0,31.6,0.05,0.17,0,0,2021,Italy,2.2,0.6
2020-09-04,20:45,UEFA Nations League,League A,Fri,Home,D,1,1,ba Bosnia & Herz'na,61.0,,Leonardo Bonucci,4-3-3,Anastasios Sidiropoulos,Match Report,,20.0,4.0,20.0,0.05,0.25,0,0,2020-2021,Italy,,
2020-09-07,20:45,UEFA Nations League,League A,Mon,Away,W,1,0,nl Netherlands,57.0,,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,,18.0,4.0,22.2,0.06,0.25,0,0,2020-2021,Italy,,
2020-10-11,20:45,UEFA Nations League,League A,Sun,Away,D,0,0,pl Poland,61.0,9200.0,Leonardo Bonucci,4-3-3,José Sánchez,Match Report,,17.0,2.0,11.8,0.0,0.0,0,0,2020-2021,Italy,,
2020-10-14,20:45,UEFA Nations League,League A,Wed,Home,D,1,1,nl Netherlands,55.0,623.0,Giorgio Chiellini,4-1-4-1,Anthony Taylor,Match Report,,7.0,6.0,85.7,0.14,0.17,0,0,2020-2021,Italy,,
2020-11-15,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,pl Poland,62.0,,Alessandro Florenzi,4-3-3,Clément Turpin,Match Report,,19.0,4.0,21.1,0.05,0.25,1,1,2020-2021,Italy,,
2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,W,2,0,ba Bosnia & Herz'na,64.0,,Alessandro Florenzi,4-3-3,Artur Dias,Match Report,,17.0,4.0,23.5,0.12,0.5,0,0,2020-2021,Italy,,
2021-10-06,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,L,1,2,es Spain,25.0,33524.0,Leonardo Bonucci,4-3-3,Sergey Karasev,Match Report,,0.0,0.0,,,,0,0,2020-2021,Italy,,
2021-10-10,15:00,UEFA Nations League,Third-place match,Sun,Neutral,W,2,1,be Belgium,40.0,16724.0,Gianluigi Donnarumma,4-3-3,Srđan Jovanović,Match Report,,0.0,0.0,,,,1,1,2020-2021,Italy,,
2018-09-07,20:45,UEFA Nations League,League A,Fri,Home,D,1,1,pl Poland,,24000.0,Giorgio Chiellini,4-3-3,Felix Zwayer,Match Report,,,,,,,1,1,2018-2019,Italy,,
2018-09-10,19:45,UEFA Nations League,League A,Mon,Away,L,0,1,pt Portugal,,52635.0,Ciro Immobile,4-3-3,William Collum,Match Report,,,,,,,0,0,2018-2019,Italy,,
2018-10-14,20:45,UEFA Nations League,League A,Sun,Away,W,1,0,pl Poland,,41692.0,Giorgio Chiellini,4-3-3,Matej Jug,Match Report,,,,,,,0,0,2018-2019,Italy,,
2018-11-17,20:45,UEFA Nations League,League A,Sat,Home,D,0,0,pt Portugal,,73000.0,Giorgio Chiellini,4-3-3,Danny Makkelie,Match Report,,,,,,,0,0,2018-2019,Italy,,
2016-09-05,21:45,WCQ,First round,Mon,Away,W,3,1,il Israel,,29300.0,Gianluigi Buffon,5-3-2,Sergey Karasev,Match Report,,,,,,,1,1,2018,Italy,,
2016-10-06,20:45,WCQ,First round,Thu,Home,D,1,1,es Spain,,41000.0,Gianluigi Buffon,3-5-2,Felix Brych,Match Report,,,,,,,1,1,2018,Italy,,
2016-10-09,20:45,WCQ,First round,Sun,Away,W,3,2,mk N. Macedonia,,19195.0,Gianluigi Buffon,5-3-2,Danny Makkelie,Match Report,,,,,,,0,0,2018,Italy,,
2016-11-12,20:45,WCQ,First round,Sat,Away,W,4,0,li Liechtenstein,,5864.0,Gianluigi Buffon,4-2-2-2,Ivan Bebek,Match Report,,,,,,,0,0,2018,Italy,,
2017-03-24,20:45,WCQ,First round,Fri,Home,W,2,0,al Albania,,33136.0,Gianluigi Buffon,4-2-2-2,Slavko Vinčič,Match Report,,,,,,,1,1,2018,Italy,,
2017-06-11,20:45,WCQ,First round,Sun,Home,W,5,0,li Liechtenstein,,20514.0,Giorgio Chiellini,4-2-2-2,Kevin Clancy,Match Report,,,,,,,0,0,2018,Italy,,
2017-09-02,20:45,WCQ,First round,Sat,Away,L,0,3,es Spain,,73628.0,Gianluigi Buffon,4-4-2,Björn Kuipers,Match Report,,,,,,,0,0,2018,Italy,,
2017-09-05,20:45,WCQ,First round,Tue,Home,W,1,0,il Israel,,15507.0,Gianluigi Buffon,4-4-2,Benoît Bastien,Match Report,,,,,,,0,0,2018,Italy,,
2017-10-06,20:45,WCQ,First round,Fri,Home,D,1,1,mk N. Macedonia,,22603.0,Gianluigi Buffon,3-4-3,Tiago Martins,Match Report,,,,,,,0,0,2018,Italy,,
2017-10-09,20:45,WCQ,First round,Mon,Away,W,1,0,al Albania,,14718.0,Gianluigi Buffon,4-2-2-2,Svein Oddvar Moen,Match Report,,,,,,,0,0,2018,Italy,,
2017-11-10,20:45,WCQ,Second round,Fri,Away,L,0,1,se Sweden,,49193.0,Gianluigi Buffon,3-5-2,Cüneyt Çakιr,Match Report,Leg 1 of 2,,,,,,0,0,2018,Italy,,
2017-11-13,20:45,WCQ,Second round,Mon,Home,D,0,0,se Sweden,,72696.0,Gianluigi Buffon,3-5-2,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Sweden won,,,,,,0,0,2018,Italy,,
2018-03-23,19:45,Friendlies (M),Friendlies (M),Fri,Away,L,0,2,ar Argentina,,,Gianluigi Buffon,4-3-3,Martin Atkinson,Match Report,,,,,,,0,0,2018,Italy,,
2018-03-27,20:00,Friendlies (M),Friendlies (M),Tue,Away,D,1,1,eng England,,82598.0,Leonardo Bonucci,4-3-3,Deniz Aytekin,Match Report,,,,,,,1,1,2018,Italy,,
2018-05-28,20:45,Friendlies (M),Friendlies (M),Mon,Away,W,2,1,sa Saudi Arabia,,10010.0,Leonardo Bonucci,4-1-4-1,Sandro Schärer,Match Report,,,,,,,0,0,2018,Italy,,
2018-06-01,21:05,Friendlies (M),Friendlies (M),Fri,Away,L,1,3,fr France,,34500.0,Leonardo Bonucci,4-1-4-1,Anthony Taylor,Match Report,,,,,,,0,0,2018,Italy,,
2018-06-04,20:45,Friendlies (M),Friendlies (M),Mon,Home,D,1,1,nl Netherlands,,20000.0,Lorenzo Insigne,4-1-4-1,Vladislav Bezborodov,Match Report,,,,,,,0,0,2018,Italy,,
2018-10-10,20:45,Friendlies (M),Friendlies (M),Wed,Home,D,1,1,ua Ukraine,,12000.0,Giorgio Chiellini,4-1-4-1,Rade Obrenović,Match Report,,,,,,,0,0,2018,Italy,,
2018-11-20,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,1,0,us United States,,13500.0,Leonardo Bonucci,4-3-3,Cüneyt Çakιr,Match Report,,,,,,,0,0,2018,Italy,,
2017-03-28,20:45,Friendlies (M),Friendlies (M),Tue,Away,W,2,1,nl Netherlands,,46228.0,Daniele De Rossi,3-4-1-2,Jonas Eriksson,Match Report,,,,,,,0,0,2017,Italy,,
2017-06-07,20:45,Friendlies (M),Friendlies (M),Wed,Home,W,3,0,uy Uruguay,,16000.0,Daniele De Rossi,4-2-2-2,Clément Turpin,Match Report,,,,,,,1,1,2017,Italy,,
2014-09-09,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2,0,no Norway,50.0,26265.0,Gianluigi Buffon,3-5-2,Milorad Mažić,Match Report,,13.0,6.0,46.2,0.15,0.33,0,0,2016,Italy,,
2014-10-10,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,1,az Azerbaijan,61.0,35000.0,Gianluigi Buffon,5-3-2,Hüseyin Göçek,Match Report,,22.0,4.0,18.2,0.09,0.5,0,0,2016,Italy,,
2014-10-13,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1,0,mt Malta,71.0,17000.0,Gianluigi Buffon,3-3-2-2,Ovidiu Hațegan,Match Report,,19.0,5.0,26.3,0.05,0.2,0,0,2016,Italy,,
2014-11-16,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,hr Croatia,40.0,55000.0,Gianluigi Buffon,3-5-2,Björn Kuipers,Match Report,,9.0,2.0,22.2,0.11,0.5,0,0,2016,Italy,,
